KWW_ID,correct_id,KWW_originator,gov_agency,mainpage,educationcenterblogtipsar,additionalcenter,FAQ,Glossary,Notes
285,285,oceanside mortgage company,,http://oceansidemortgage.net/,,,,,
286,286,"ocwen loan servicing, llc",,http://www.ocwen.com/,,,,,
130,130,on q financial,,https://onqfinancial.com/,,,,,
131,131,paramount residential mortgage,,http://prmg.net/,,,,,
132,132,parkside lending llc,,https://www.parksidelending.com/,,,,,
290,290,pennsylvania housing finance agency,y,https://www.phfa.org/,,,,,
139,139,pennymac loan services,,https://www.pennymacusa.com/,,,,,
133,133,peoples mortgage corp,,https://www.peoplesmortgage.com/,,,,,
134,134,phh mortgage,,https://www.phhmortgage.com/,https://www.phhmortgage.com/tools-resources/articles,,https://www.phhmortgage.com/tools-resources/faqs,https://www.phhmortgage.com/tools-resources/glossary,
293,293,"planet home lending, llc",,https://planethomelending.com/,,,,,
135,135,platinum home mortgage corp,,https://www.phmc.com/,,,,,
294,294,platinum mortgage wholesale,,http://www.platinumtpolending.com/,,,,,
140,140,plaza home mortgage,,https://www.plazahomemortgage.com/,,,,,
296,139,pmt,,https://www.pennymacusa.com/,,,,,
141,141,primary residential mortgage inc.,,https://www.primaryresidentialmortgage.com/,,,,,
142,142,primelending plainscapital,,https://www.primelending.com/,,,,,
144,144,provident funding,,https://www.provident.com/,,,,,
137,137,pulte mortgage llc,,https://login.pultemortgage.com/,,,,,
145,145,quicken loans,,https://www.quickenloans.com/,,,,,
298,298,"r p funding, inc.",,https://www.rpfunding.com/,,,,,
299,299,"ranlife, inc.",,https://www.ranlife.com/,,,,,
147,147,reliance first capital llc,,https://www.reliancefirst.com/,,,,,
301,301,residential bancorp,,https://www.bancorp.com/,,,,,
302,302,residential wholesale mortgage inc.,,https://www.rwmloans.com/,,,,,
303,303,rhode island housing and mortgage finance corporation,y,https://www.rihousing.com/index.cfm,,,,,
304,304,"right start mortgage, inc.",,https://rightstartmortgage.com/,,,,,
149,149,rocky mountain mortgage compan,,http://rmmc.com/,,,,,
305,305,roundpoint mortgage company,,https://www.rpmservicing.com/,,,,,
